tick,robot_id,x,y,battery,health,status,wait_counter
0,R0,1,8,99.95,100.0,idle,0
0,R1,3,8,99.95,100.0,idle,0
0,R2,5,8,99.95,100.0,idle,0
0,R3,7,8,99.95,100.0,idle,0
0,R4,9,8,99.95,100.0,idle,0
1,R0,1,8,99.9,100.0,idle,0
1,R1,3,8,99.9,100.0,idle,0
1,R2,5,8,99.9,100.0,idle,0
1,R3,7,8,99.9,100.0,idle,0
1,R4,9,8,99.9,100.0,idle,0
2,R0,1,8,99.85,100.0,idle,0
2,R1,3,8,99.85,100.0,idle,0
2,R2,5,8,99.85,100.0,idle,0
2,R3,7,8,99.85,100.0,idle,0
2,R4,9,8,99.85,100.0,idle,0
3,R0,1,8,99.8,100.0,idle,0
3,R1,3,8,99.8,100.0,idle,0
3,R2,5,8,99.8,100.0,idle,0
3,R3,7,8,99.8,100.0,idle,0
3,R4,9,8,99.8,100.0,idle,0
4,R0,1,8,99.75,100.0,idle,0
4,R1,3,8,99.75,100.0,idle,0
4,R2,5,8,99.75,100.0,idle,0
4,R3,7,8,99.75,100.0,idle,0
4,R4,9,8,99.75,100.0,idle,0
5,R0,1,8,99.7,100.0,idle,0
5,R1,3,8,99.7,100.0,idle,0
5,R2,5,8,99.7,100.0,idle,0
5,R3,7,8,99.7,100.0,idle,0
5,R4,9,8,99.7,100.0,idle,0
6,R0,1,8,99.65,100.0,idle,0
6,R1,3,8,99.65,100.0,idle,0
6,R2,5,8,99.65,100.0,idle,0
6,R3,7,8,99.65,100.0,idle,0
6,R4,9,8,99.65,100.0,idle,0
7,R0,1,8,99.6,100.0,idle,0
7,R1,3,8,99.6,100.0,idle,0
7,R2,5,8,99.6,100.0,idle,0
7,R3,7,8,99.6,100.0,idle,0
7,R4,9,8,99.6,100.0,idle,0
8,R0,1,8,99.55,100.0,idle,0
8,R1,3,8,99.55,100.0,idle,0
8,R2,5,8,99.55,100.0,idle,0
8,R3,7,8,99.55,100.0,idle,0
8,R4,9,8,99.55,100.0,idle,0
9,R0,1,8,99.5,100.0,idle,0
9,R1,3,8,99.5,100.0,idle,0
9,R2,5,8,99.5,100.0,idle,0
9,R3,7,8,99.5,100.0,idle,0
9,R4,9,8,99.5,100.0,idle,0
10,R0,1,8,99.45,100.0,idle,0
10,R1,3,8,99.45,100.0,idle,0
10,R2,5,8,99.45,100.0,idle,0
10,R3,7,8,99.45,100.0,idle,0
10,R4,9,8,99.45,100.0,idle,0
11,R0,1,8,99.4,100.0,idle,0
11,R1,3,8,99.4,100.0,idle,0
11,R2,5,8,99.4,100.0,idle,0
11,R3,7,8,99.4,100.0,idle,0
11,R4,9,8,99.4,100.0,idle,0
12,R0,1,8,99.35,100.0,idle,0
12,R1,3,8,99.35,100.0,idle,0
12,R2,5,8,99.35,100.0,idle,0
