completed_orders,average_fulfillment_time,total_distance,collisions,charging_events,average_battery,utilization,tick
0,0,0.0,0,0,99.95,0.0,0
0,0,0.0,0,0,99.7,0.0,10
0,0,0.0,0,0,99.45,0.05,20
0,0,0.0,0,0,99.2,0.1,30
0,0,0.0,0,0,98.95,0.12,40
0,0,0.0,0,0,98.7,0.14,50
0,0,0.0,0,0,98.45,0.15,60
0,0,0.0,0,0,98.2,0.15,70
0,0,0.0,0,0,97.95,0.16,80
0,0,0.0,0,0,97.7,0.16,90
0,0,0.0,0,0,97.45,0.17,100
0,0,0.0,0,0,97.2,0.17,110
0,0,0.0,0,0,96.95,0.17,120
0,0,0.0,0,0,96.7,0.18,130
0,0,0.0,0,0,96.45,0.18,140
0,0,0.0,0,0,96.2,0.18,150
0,0,0.0,0,0,95.95,0.18,160
0,0,0.0,0,0,95.7,0.18,170
0,0,0.0,0,0,95.45,0.18,180
0,0,0.0,0,0,95.2,0.18,190
0,0,0.0,0,0,94.95,0.18,200
0,0,0.0,0,0,94.7,0.18,210
0,0,0.0,0,0,94.45,0.19,220
0,0,0.0,0,0,94.2,0.19,230
0,0,0.0,0,0,93.95,0.19,240
0,0,0.0,0,0,93.7,0.2,250
0,0,0.0,0,0,93.45,0.2,260
0,0,0.0,0,0,93.2,0.21,270
0,0,0.0,0,0,92.95,0.22,280
0,0,0.0,0,0,92.7,0.22,290
0,0,0.0,0,0,92.45,0.23,300
0,0,0.0,0,0,92.2,0.24,310
0,0,0.0,0,0,91.95,0.24,320
0,0,0.0,0,0,91.7,0.25,330
0,0,0.0,0,0,91.45,0.25,340
0,0,0.0,0,0,91.2,0.25,350
0,0,0.0,0,0,90.95,0.26,360
0,0,0.0,0,0,90.7,0.26,370
0,0,0.0,0,0,90.45,0.27,380
0,0,0.0,0,0,90.2,0.27,390
0,0,0.0,0,0,89.95,0.27,400
0,0,0.0,0,0,89.7,0.28,410
0,0,0.0,0,0,89.45,0.28,420
0,0,0.0,0,0,89.2,0.28,430
0,0,0.0,0,0,88.95,0.28,440
0,0,0.0,0,0,88.7,0.29,450
0,0,0.0,0,0,88.45,0.29,460
0,0,0.0,0,0,88.2,0.29,470
0,0,0.0,0,0,87.95,0.29,480
0,0,0.0,0,0,87.7,0.3,490
0,0,0.0,0,0,87.45,0.3,500
0,0,0.0,0,0,87.2,0.3,510
0,0,0.0,0,0,86.95,0.3,520
0,0,0.0,0,0,86.7,0.3,530
0,0,0.0,0,0,86.45,0.31,540
