experiment_id,date,model_family,model_name,dataset_version,hyperparameters,training_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,notes
EXP-LR-01,2026-09-10 16:05:24,Logistic Regression,LogisticRegression(C=10.0),Cleaned_Warehouse_Engineered,"C=10.0, solver=lbfgs, max_iter=1000",0.033,0.8337,0.6977,0.687,0.6923,0.9191,Baseline linear classifier on standardized features with L2 penalty
EXP-RF-01,2026-09-10 16:05:31,Random Forest,"RandomForest(n=50,d=5)",Cleaned_Warehouse_Engineered,"n_est=50, max_depth=5, split=2, weight=None",0.1723,0.8274,0.6875,0.6718,0.6795,0.9091,Random forest hyperparameter experiment with None weighting
EXP-RF-02,2026-09-10 16:05:31,Random Forest,"RandomForest(n=100,d=10)",Cleaned_Warehouse_Engineered,"n_est=100, max_depth=10, split=2, weight=None",0.3032,0.8191,0.6618,0.687,0.6742,0.9076,Random forest hyperparameter experiment with None weighting
EXP-RF-03,2026-09-10 16:05:32,Random Forest,"RandomForest(n=200,d=15)",Cleaned_Warehouse_Engineered,"n_est=200, max_depth=15, split=5, weight=None",0.6058,0.8191,0.6618,0.687,0.6742,0.9064,Random forest hyperparameter experiment with None weighting
EXP-RF-04,2026-09-10 16:05:32,Random Forest,"RandomForest(n=100,d=10)",Cleaned_Warehouse_Engineered,"n_est=100, max_depth=10, split=2, weight=balanced",0.34,0.817,0.6443,0.7328,0.6857,0.9032,Random forest hyperparameter experiment with balanced weighting
EXP-XGB-01,2026-09-10 16:05:42,XGBoost,XGBoost_Default_Baseline,Cleaned_Warehouse_Engineered,"n=100, lr=0.1, d=3, spw=1.0, sub=1.0, col=1.0",0.3549,0.8254,0.6715,0.7023,0.6866,0.9133,Standard default XGBoost configuration without imbalance adjustment
EXP-XGB-02,2026-09-10 16:05:42,XGBoost,XGBoost_Deep_Trees,Cleaned_Warehouse_Engineered,"n=150, lr=0.05, d=6, spw=1.0, sub=1.0, col=1.0",0.4591,0.8233,0.6691,0.6947,0.6816,0.9104,Testing deeper decision trees (depth=6) with reduced learning rate
EXP-XGB-03,2026-09-10 16:05:43,XGBoost,XGBoost_Imbalance_Weighted,Cleaned_Warehouse_Engineered,"n=150, lr=0.05, d=4, spw=2.68, sub=1.0, col=1.0",0.2456,0.8067,0.6067,0.8244,0.699,0.9104,Addressing 2.68:1 class ratio using scale_pos_weight=2.68
EXP-XGB-04,2026-09-10 16:05:43,XGBoost,XGBoost_Regularized_Subsampled,Cleaned_Warehouse_Engineered,"n=200, lr=0.03, d=4, spw=2.68, sub=0.8, col=0.8",0.3131,0.8191,0.6222,0.855,0.7203,0.9115,Regularized tree boosting with column/row subsampling and gamma penalty
EXP-XGB-05,2026-09-10 16:05:43,XGBoost,XGBoost_Balanced_Optimum,Cleaned_Warehouse_Engineered,"n=150, lr=0.04, d=4, spw=2.0, sub=0.85, col=0.85",0.238,0.8212,0.6331,0.8168,0.7133,0.9111,Calibrated balance between high recall and precision preservation
